0#0,Pos.,Player,Date of birth (age),Caps,Goals,Club,club_link,squad,player_link
11,3MF,Pavel Mamayev,(1988-09-17)17 September 1988 (aged 27),10,0,Krasnodar,https://en.wikipedia.org/wiki/FC_Krasnodar,Russia,https://en.wikipedia.org/wiki/Pavel_Mamayev
12,1GK,Yuri Lodygin,(1990-05-26)26 May 1990 (aged 26),10,0,Zenit Saint Petersburg,https://en.wikipedia.org/wiki/FC_Zenit_Saint_Petersburg,Russia,https://en.wikipedia.org/wiki/Yuri_Lodygin
13,3MF,Aleksandr Golovin,(1996-05-30)30 May 1996 (aged 20),3,2,CSKA Moscow,https://en.wikipedia.org/wiki/PFC_CSKA_Moscow,Russia,https://en.wikipedia.org/wiki/Aleksandr_Golovin_(footballer)
14,2DF,Vasili Berezutski,(1982-06-20)20 June 1982 (aged 33),93,4,CSKA Moscow,https://en.wikipedia.org/wiki/PFC_CSKA_Moscow,Russia,https://en.wikipedia.org/wiki/Vasili_Berezutski
15,3MF,Roman Shirokov (captain),(1981-07-06)6 July 1981 (aged 34),53,13,CSKA Moscow,https://en.wikipedia.org/wiki/PFC_CSKA_Moscow,Russia,https://en.wikipedia.org/wiki/Roman_Shirokov
16,1GK,Guilherme Marinato,(1985-12-12)12 December 1985 (aged 30),1,0,Lokomotiv Moscow,https://en.wikipedia.org/wiki/FC_Lokomotiv_Moscow,Russia,https://en.wikipedia.org/wiki/Guilherme_Marinato
17,3MF,Oleg Shatov,(1990-06-29)29 June 1990 (aged 25),21,2,Zenit Saint Petersburg,https://en.wikipedia.org/wiki/FC_Zenit_Saint_Petersburg,Russia,https://en.wikipedia.org/wiki/Oleg_Shatov
18,3MF,Oleg Ivanov,(1986-08-04)4 August 1986 (aged 29),3,0,Terek Grozny,https://en.wikipedia.org/wiki/FC_Terek_Grozny,Russia,https://en.wikipedia.org/wiki/Oleg_Ivanov
19,3MF,Aleksandr Samedov,(1984-07-19)19 July 1984 (aged 31),28,3,Lokomotiv Moscow,https://en.wikipedia.org/wiki/FC_Lokomotiv_Moscow,Russia,https://en.wikipedia.org/wiki/Aleksandr_Samedov
20,3MF,Dmitri Torbinski,(1984-04-28)28 April 1984 (aged 32),28,2,Krasnodar,https://en.wikipedia.org/wiki/FC_Krasnodar,Russia,https://en.wikipedia.org/wiki/Dmitri_Torbinski
21,2DF,Georgi Shchennikov,(1991-04-27)27 April 1991 (aged 25),7,0,CSKA Moscow,https://en.wikipedia.org/wiki/PFC_CSKA_Moscow,Russia,https://en.wikipedia.org/wiki/Georgi_Shchennikov
22,4FW,Artem Dzyuba,(1988-08-22)22 August 1988 (aged 27),16,8,Zenit Saint Petersburg,https://en.wikipedia.org/wiki/FC_Zenit_Saint_Petersburg,Russia,https://en.wikipedia.org/wiki/Artem_Dzyuba
23,2DF,Dmitri Kombarov,(1987-01-22)22 January 1987 (aged 29),38,2,Spartak Moscow,https://en.wikipedia.org/wiki/FC_Spartak_Moscow,Russia,https://en.wikipedia.org/wiki/Dmitri_Kombarov
1,1GK,Wayne Hennessey,(1987-01-24)24 January 1987 (aged 29),57,0,Crystal Palace,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.,Wales,https://en.wikipedia.org/wiki/Wayne_Hennessey
2,2DF,Chris Gunter,(1989-07-21)21 July 1989 (aged 26),67,0,Reading,https://en.wikipedia.org/wiki/Reading_F.C.,Wales,https://en.wikipedia.org/wiki/Chris_Gunter
3,2DF,Neil Taylor,(1989-02-07)7 February 1989 (aged 27),28,0,Swansea City,https://en.wikipedia.org/wiki/Swansea_City_A.F.C.,Wales,https://en.wikipedia.org/wiki/Neil_Taylor_(footballer)
4,2DF,Ben Davies,(1993-04-24)24 April 1993 (aged 23),20,0,Tottenham Hotspur,https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.,Wales,"https://en.wikipedia.org/wiki/Ben_Davies_(footballer,_born_1993)"
5,2DF,James Chester,(1989-01-23)23 January 1989 (aged 27),11,0,West Bromwich Albion,https://en.wikipedia.org/wiki/West_Bromwich_Albion_F.C.,Wales,https://en.wikipedia.org/wiki/James_Chester
6,2DF,Ashley Williams (captain),(1984-08-23)23 August 1984 (aged 31),59,1,Swansea City,https://en.wikipedia.org/wiki/Swansea_City_A.F.C.,Wales,https://en.wikipedia.org/wiki/Ashley_Williams_(footballer)
7,3MF,Joe Allen,(1990-03-14)14 March 1990 (aged 26),25,0,Liverpool,https://en.wikipedia.org/wiki/Liverpool_F.C.,Wales,"https://en.wikipedia.org/wiki/Joe_Allen_(footballer,_born_1990)"
8,3MF,Andy King,(1988-10-29)29 October 1988 (aged 27),33,2,Leicester City,https://en.wikipedia.org/wiki/Leicester_City_F.C.,Wales,"https://en.wikipedia.org/wiki/Andy_King_(footballer,_born_1988)"
9,4FW,Hal Robson-Kanu,(1989-05-21)21 May 1989 (aged 27),30,2,Reading,https://en.wikipedia.org/wiki/Reading_F.C.,Wales,https://en.wikipedia.org/wiki/Hal_Robson-Kanu
10,3MF,Aaron Ramsey,(1990-12-26)26 December 1990 (aged 25),39,10,Arsenal,https://en.wikipedia.org/wiki/Arsenal_F.C.,Wales,https://en.wikipedia.org/wiki/Aaron_Ramsey
11,4FW,Gareth Bale,(1989-07-16)16 July 1989 (aged 26),55,19,Real Madrid,https://en.wikipedia.org/wiki/Real_Madrid_C.F.,Wales,https://en.wikipedia.org/wiki/Gareth_Bale
12,1GK,Owain Fôn Williams,(1987-03-17)17 March 1987 (aged 29),1,0,Inverness Caledonian Thistle,https://en.wikipedia.org/wiki/Inverness_Caledonian_Thistle_F.C.,Wales,https://en.wikipedia.org/wiki/Owain_F%C3%B4n_Williams
13,4FW,George Williams,(1995-09-07)7 September 1995 (aged 20),7,0,Gillingham,https://en.wikipedia.org/wiki/Gillingham_F.C.,Wales,"https://en.wikipedia.org/wiki/George_Williams_(footballer,_born_1995)"
14,3MF,David Edwards,(1986-02-03)3 February 1986 (aged 30),32,3,Wolverhampton Wanderers,https://en.wikipedia.org/wiki/Wolverhampton_Wanderers_F.C.,Wales,https://en.wikipedia.org/wiki/David_Edwards_(footballer)
15,2DF,Jazz Richards,(1991-04-12)12 April 1991 (aged 25),9,0,Fulham,https://en.wikipedia.org/wiki/Fulham_F.C.,Wales,https://en.wikipedia.org/wiki/Jazz_Richards
16,3MF,Joe Ledley,(1987-01-23)23 January 1987 (aged 29),61,4,Crystal Palace,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.,Wales,https://en.wikipedia.org/wiki/Joe_Ledley
17,4FW,David Cotterill,(1987-12-04)4 December 1987 (aged 28),23,2,Birmingham City,https://en.wikipedia.org/wiki/Birmingham_City_F.C.,Wales,https://en.wikipedia.org/wiki/David_Cotterill
18,4FW,Sam Vokes,(1989-10-21)21 October 1989 (aged 26),40,6,Burnley,https://en.wikipedia.org/wiki/Burnley_F.C.,Wales,https://en.wikipedia.org/wiki/Sam_Vokes
19,2DF,James Collins,(1983-08-23)23 August 1983 (aged 32),47,3,West Ham United,https://en.wikipedia.org/wiki/West_Ham_United_F.C.,Wales,https://en.wikipedia.org/wiki/James_Collins_(footballer_born_1983)
20,3MF,Jonny Williams,(1993-10-09)9 October 1993 (aged 22),12,0,Milton Keynes Dons,https://en.wikipedia.org/wiki/Milton_Keynes_Dons,Wales,https://en.wikipedia.org/wiki/Jonny_Williams
21,1GK,Danny Ward,(1993-06-22)22 June 1993 (aged 22),2,0,Liverpool,https://en.wikipedia.org/wiki/Liverpool_F.C.,Wales,"https://en.wikipedia.org/wiki/Danny_Ward_(footballer,_born_1993)"
22,3MF,David Vaughan,(1983-02-18)18 February 1983 (aged 33),42,1,Nottingham Forest,https://en.wikipedia.org/wiki/Nottingham_Forest_F.C.,Wales,https://en.wikipedia.org/wiki/David_Vaughan_(footballer)
23,4FW,Simon Church,(1988-12-10)10 December 1988 (aged 27),36,3,Aberdeen,https://en.wikipedia.org/wiki/Aberdeen_F.C.,Wales,https://en.wikipedia.org/wiki/Simon_Church
1,1GK,Ján Mucha,(1982-12-05)5 December 1982 (aged 33),46,0,Slovan Bratislava,https://en.wikipedia.org/wiki/%C5%A0K_Slovan_Bratislava,Slovakia,https://en.wikipedia.org/wiki/J%C3%A1n_Mucha
2,2DF,Peter Pekarík,(1986-10-30)30 October 1986 (aged 29),67,2,Hertha BSC,https://en.wikipedia.org/wiki/Hertha_BSC,Slovakia,https://en.wikipedia.org/wiki/Peter_Pekar%C3%ADk
3,2DF,Martin Škrtel (captain),(1984-12-15)15 December 1984 (aged 31),81,5,Liverpool,https://en.wikipedia.org/wiki/Liverpool_F.C.,Slovakia,https://en.wikipedia.org/wiki/Martin_%C5%A0krtel
4,2DF,Ján Ďurica,(1981-12-10)10 December 1981 (aged 34),79,4,Lokomotiv Moscow,https://en.wikipedia.org/wiki/FC_Lokomotiv_Moscow,Slovakia,https://en.wikipedia.org/wiki/J%C3%A1n_%C4%8Eurica
5,2DF,Norbert Gyömbér,(1992-07-03)3 July 1992 (aged 23),13,0,Roma,https://en.wikipedia.org/wiki/A.S._Roma,Slovakia,https://en.wikipedia.org/wiki/Norbert_Gy%C3%B6mb%C3%A9r
6,3MF,Ján Greguš,(1991-01-29)29 January 1991 (aged 25),7,0,Baumit Jablonec,https://en.wikipedia.org/wiki/FK_Baumit_Jablonec,Slovakia,https://en.wikipedia.org/wiki/J%C3%A1n_Gregu%C5%A1
7,3MF,Vladimír Weiss,(1989-11-30)30 November 1989 (aged 26),52,4,Al-Gharafa,https://en.wikipedia.org/wiki/Al-Gharafa_Sports_Club,Slovakia,"https://en.wikipedia.org/wiki/Vladim%C3%ADr_Weiss_(footballer,_born_1989)"
8,3MF,Ondrej Duda,(1994-12-05)5 December 1994 (aged 21),11,1,Legia Warsaw,https://en.wikipedia.org/wiki/Legia_Warsaw,Slovakia,https://en.wikipedia.org/wiki/Ondrej_Duda
9,4FW,Stanislav Šesták,(1982-12-16)16 December 1982 (aged 33),65,13,Ferencváros,https://en.wikipedia.org/wiki/Ferencv%C3%A1rosi_TC,Slovakia,https://en.wikipedia.org/wiki/Stanislav_%C5%A0est%C3%A1k
10,3MF,Miroslav Stoch,(1989-10-19)19 October 1989 (aged 26),54,6,Bursaspor,https://en.wikipedia.org/wiki/Bursaspor,Slovakia,https://en.wikipedia.org/wiki/Miroslav_Stoch
11,4FW,Adam Nemec,(1985-09-02)2 September 1985 (aged 30),22,6,Willem II,https://en.wikipedia.org/wiki/Willem_II_(football_club),Slovakia,https://en.wikipedia.org/wiki/Adam_Nemec
12,1GK,Ján Novota,(1983-11-29)29 November 1983 (aged 32),3,0,Rapid Wien,https://en.wikipedia.org/wiki/SK_Rapid_Wien,Slovakia,https://en.wikipedia.org/wiki/J%C3%A1n_Novota
13,3MF,Patrik Hrošovský,(1992-04-22)22 April 1992 (aged 24),12,0,Viktoria Plzeň,https://en.wikipedia.org/wiki/FC_Viktoria_Plze%C5%88,Slovakia,https://en.wikipedia.org/wiki/Patrik_Hro%C5%A1ovsk%C3%BD
14,2DF,Milan Škriniar,(1995-02-11)11 February 1995 (aged 21),2,0,Sampdoria,https://en.wikipedia.org/wiki/U.C._Sampdoria,Slovakia,https://en.wikipedia.org/wiki/Milan_%C5%A0kriniar
15,2DF,Tomáš Hubočan,(1985-09-17)17 September 1985 (aged 30),44,0,Dynamo Moscow,https://en.wikipedia.org/wiki/FC_Dynamo_Moscow,Slovakia,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Hubo%C4%8Dan
16,2DF,Kornel Saláta,(1985-01-24)24 January 1985 (aged 31),37,2,Slovan Bratislava,https://en.wikipedia.org/wiki/%C5%A0K_Slovan_Bratislava,Slovakia,https://en.wikipedia.org/wiki/Kornel_Sal%C3%A1ta
17,3MF,Marek Hamšík,(1987-07-27)27 July 1987 (aged 28),87,18,Napoli,https://en.wikipedia.org/wiki/S.S.C._Napoli,Slovakia,https://en.wikipedia.org/wiki/Marek_Ham%C5%A1%C3%ADk
18,2DF,Dušan Švento,(1985-08-01)1 August 1985 (aged 30),39,1,1. FC Köln,https://en.wikipedia.org/wiki/1._FC_K%C3%B6ln,Slovakia,https://en.wikipedia.org/wiki/Du%C5%A1an_%C5%A0vento
19,3MF,Juraj Kucka,(1987-02-26)26 February 1987 (aged 29),47,5,Milan,https://en.wikipedia.org/wiki/A.C._Milan,Slovakia,https://en.wikipedia.org/wiki/Juraj_Kucka
20,3MF,Róbert Mak,(1991-03-08)8 March 1991 (aged 25),27,7,PAOK,https://en.wikipedia.org/wiki/PAOK_FC,Slovakia,https://en.wikipedia.org/wiki/R%C3%B3bert_Mak
21,4FW,Michal Ďuriš,(1988-06-01)1 June 1988 (aged 28),26,4,Viktoria Plzeň,https://en.wikipedia.org/wiki/FC_Viktoria_Plze%C5%88,Slovakia,https://en.wikipedia.org/wiki/Michal_%C4%8Euri%C5%A1
22,3MF,Viktor Pečovský,(1983-05-24)24 May 1983 (aged 33),32,1,Žilina,https://en.wikipedia.org/wiki/M%C5%A0K_%C5%BDilina,Slovakia,https://en.wikipedia.org/wiki/Viktor_Pe%C4%8Dovsk%C3%BD
23,1GK,Matúš Kozáčik,(1983-12-27)27 December 1983 (aged 32),17,0,Viktoria Plzeň,https://en.wikipedia.org/wiki/FC_Viktoria_Plze%C5%88,Slovakia,https://en.wikipedia.org/wiki/Mat%C3%BA%C5%A1_Koz%C3%A1%C4%8Dik
1,1GK,Manuel Neuer,(1986-03-27)27 March 1986 (aged 30),65,0,Bayern Munich,https://en.wikipedia.org/wiki/FC_Bayern_Munich,Germany,https://en.wikipedia.org/wiki/Manuel_Neuer
2,2DF,Shkodran Mustafi,(1992-04-17)17 April 1992 (aged 24),10,0,Valencia,https://en.wikipedia.org/wiki/Valencia_CF,Germany,https://en.wikipedia.org/wiki/Shkodran_Mustafi
3,2DF,Jonas Hector,(1990-05-27)27 May 1990 (aged 26),14,1,1. FC Köln,https://en.wikipedia.org/wiki/1._FC_K%C3%B6ln,Germany,https://en.wikipedia.org/wiki/Jonas_Hector
4,2DF,Benedikt Höwedes,(1988-02-29)29 February 1988 (aged 28),34,2,Schalke 04,https://en.wikipedia.org/wiki/FC_Schalke_04,Germany,https://en.wikipedia.org/wiki/Benedikt_H%C3%B6wedes
5,2DF,Mats Hummels,(1988-12-16)16 December 1988 (aged 27),46,4,Borussia Dortmund,https://en.wikipedia.org/wiki/Borussia_Dortmund,Germany,https://en.wikipedia.org/wiki/Mats_Hummels
6,3MF,Sami Khedira,(1987-04-04)4 April 1987 (aged 29),60,5,Juventus,https://en.wikipedia.org/wiki/Juventus_F.C.,Germany,https://en.wikipedia.org/wiki/Sami_Khedira
7,3MF,Bastian Schweinsteiger (captain),(1984-08-01)1 August 1984 (aged 31),115,23,Manchester United,https://en.wikipedia.org/wiki/Manchester_United_F.C.,Germany,https://en.wikipedia.org/wiki/Bastian_Schweinsteiger
8,3MF,Mesut Özil,(1988-10-15)15 October 1988 (aged 27),73,19,Arsenal,https://en.wikipedia.org/wiki/Arsenal_F.C.,Germany,https://en.wikipedia.org/wiki/Mesut_%C3%96zil
9,3MF,André Schürrle,(1990-11-06)6 November 1990 (aged 25),52,20,VfL Wolfsburg,https://en.wikipedia.org/wiki/VfL_Wolfsburg,Germany,https://en.wikipedia.org/wiki/Andr%C3%A9_Sch%C3%BCrrle
10,4FW,Lukas Podolski,(1985-06-04)4 June 1985 (aged 31),128,48,Galatasaray,https://en.wikipedia.org/wiki/Galatasaray_S.K._(football),Germany,https://en.wikipedia.org/wiki/Lukas_Podolski
11,3MF,Julian Draxler,(1993-09-20)20 September 1993 (aged 22),19,1,VfL Wolfsburg,https://en.wikipedia.org/wiki/VfL_Wolfsburg,Germany,https://en.wikipedia.org/wiki/Julian_Draxler
12,1GK,Bernd Leno,(1992-03-04)4 March 1992 (aged 24),1,0,Bayer Leverkusen,https://en.wikipedia.org/wiki/Bayer_04_Leverkusen,Germany,https://en.wikipedia.org/wiki/Bernd_Leno
13,4FW,Thomas Müller,(1989-09-13)13 September 1989 (aged 26),71,32,Bayern Munich,https://en.wikipedia.org/wiki/FC_Bayern_Munich,Germany,https://en.wikipedia.org/wiki/Thomas_M%C3%BCller
14,3MF,Emre Can,(1994-01-12)12 January 1994 (aged 22),6,0,Liverpool,https://en.wikipedia.org/wiki/Liverpool_F.C.,Germany,https://en.wikipedia.org/wiki/Emre_Can
15,3MF,Julian Weigl,(1995-09-08)8 September 1995 (aged 20),1,0,Borussia Dortmund,https://en.wikipedia.org/wiki/Borussia_Dortmund,Germany,https://en.wikipedia.org/wiki/Julian_Weigl
16,2DF,Jonathan Tah,(1996-02-11)11 February 1996 (aged 20),1,0,Bayer Leverkusen,https://en.wikipedia.org/wiki/Bayer_04_Leverkusen,Germany,https://en.wikipedia.org/wiki/Jonathan_Tah
17,2DF,Jérôme Boateng,(1988-09-03)3 September 1988 (aged 27),59,0,Bayern Munich,https://en.wikipedia.org/wiki/FC_Bayern_Munich,Germany,https://en.wikipedia.org/wiki/J%C3%A9r%C3%B4me_Boateng
18,3MF,Toni Kroos,(1990-01-04)4 January 1990 (aged 26),65,11,Real Madrid,https://en.wikipedia.org/wiki/Real_Madrid_C.F.,Germany,https://en.wikipedia.org/wiki/Toni_Kroos
19,3MF,Mario Götze,(1992-06-03)3 June 1992 (aged 24),52,17,Bayern Munich,https://en.wikipedia.org/wiki/FC_Bayern_Munich,Germany,https://en.wikipedia.org/wiki/Mario_G%C3%B6tze
20,3MF,Leroy Sané,(1996-01-11)11 January 1996 (aged 20),3,0,Schalke 04,https://en.wikipedia.org/wiki/FC_Schalke_04,Germany,https://en.wikipedia.org/wiki/Leroy_San%C3%A9
21,2DF,Joshua Kimmich,(1995-02-08)8 February 1995 (aged 21),1,0,Bayern Munich,https://en.wikipedia.org/wiki/FC_Bayern_Munich,Germany,https://en.wikipedia.org/wiki/Joshua_Kimmich
22,1GK,Marc-André ter Stegen,(1992-04-30)30 April 1992 (aged 24),6,0,Barcelona,https://en.wikipedia.org/wiki/FC_Barcelona,Germany,https://en.wikipedia.org/wiki/Marc-Andr%C3%A9_ter_Stegen
23,4FW,Mario Gómez,(1985-07-10)10 July 1985 (aged 30),64,27,Beşiktaş,https://en.wikipedia.org/wiki/Be%C5%9Fikta%C5%9F_J.K.,Germany,https://en.wikipedia.org/wiki/Mario_G%C3%B3mez
1,1GK,Denys Boyko,(1988-01-29)29 January 1988 (aged 28),4,0,Beşiktaş,https://en.wikipedia.org/wiki/Be%C5%9Fikta%C5%9F_J.K,Ukraine,https://en.wikipedia.org/wiki/Denys_Boyko
2,2DF,Bohdan Butko,(1991-01-13)13 January 1991 (aged 25),17,0,Amkar Perm,https://en.wikipedia.org/wiki/FC_Amkar_Perm,Ukraine,https://en.wikipedia.org/wiki/Bohdan_Butko
3,2DF,Yevhen Khacheridi,(1987-07-28)28 July 1987 (aged 28),42,3,Dynamo Kyiv,https://en.wikipedia.org/wiki/FC_Dynamo_Kyiv,Ukraine,https://en.wikipedia.org/wiki/Yevhen_Khacheridi
4,3MF,Anatoliy Tymoshchuk (captain),(1979-03-30)30 March 1979 (aged 37),143,4,Kairat Almaty,https://en.wikipedia.org/wiki/FC_Kairat,Ukraine,https://en.wikipedia.org/wiki/Anatoliy_Tymoshchuk
5,2DF,Oleksandr Kucher,(1982-10-22)22 October 1982 (aged 33),50,2,Shakhtar Donetsk,https://en.wikipedia.org/wiki/FC_Shakhtar_Donetsk,Ukraine,https://en.wikipedia.org/wiki/Oleksandr_Kucher
6,3MF,Taras Stepanenko,(1989-08-08)8 August 1989 (aged 26),29,3,Shakhtar Donetsk,https://en.wikipedia.org/wiki/FC_Shakhtar_Donetsk,Ukraine,https://en.wikipedia.org/wiki/Taras_Stepanenko
7,3MF,Andriy Yarmolenko,(1989-10-23)23 October 1989 (aged 26),59,25,Dynamo Kyiv,https://en.wikipedia.org/wiki/FC_Dynamo_Kyiv,Ukraine,https://en.wikipedia.org/wiki/Andriy_Yarmolenko
8,4FW,Roman Zozulya,(1989-11-17)17 November 1989 (aged 26),26,4,Dnipro Dnipropetrovsk,https://en.wikipedia.org/wiki/FC_Dnipro_Dnipropetrovsk,Ukraine,https://en.wikipedia.org/wiki/Roman_Zozulya_(footballer)
9,3MF,Viktor Kovalenko,(1996-02-14)14 February 1996 (aged 20),3,0,Shakhtar Donetsk,https://en.wikipedia.org/wiki/FC_Shakhtar_Donetsk,Ukraine,https://en.wikipedia.org/wiki/Viktor_Kovalenko_(footballer)
10,3MF,Yevhen Konoplyanka,(1989-09-29)29 September 1989 (aged 26),53,13,Sevilla,https://en.wikipedia.org/wiki/Sevilla_FC,Ukraine,https://en.wikipedia.org/wiki/Yevhen_Konoplyanka
11,4FW,Yevhen Seleznyov,(1985-07-20)20 July 1985 (aged 30),50,11,Kuban Krasnodar,https://en.wikipedia.org/wiki/FC_Kuban_Krasnodar,Ukraine,https://en.wikipedia.org/wiki/Yevhen_Seleznyov
12,1GK,Andriy Pyatov,(1984-06-28)28 June 1984 (aged 31),64,0,Shakhtar Donetsk,https://en.wikipedia.org/wiki/FC_Shakhtar_Donetsk,Ukraine,https://en.wikipedia.org/wiki/Andriy_Pyatov
13,2DF,Vyacheslav Shevchuk,(1979-05-13)13 May 1979 (aged 37),54,0,Shakhtar Donetsk,https://en.wikipedia.org/wiki/FC_Shakhtar_Donetsk,Ukraine,https://en.wikipedia.org/wiki/Vyacheslav_Shevchuk
14,3MF,Ruslan Rotan,(1981-10-29)29 October 1981 (aged 34),88,7,Dnipro Dnipropetrovsk,https://en.wikipedia.org/wiki/FC_Dnipro_Dnipropetrovsk,Ukraine,https://en.wikipedia.org/wiki/Ruslan_Rotan
15,4FW,Pylyp Budkivskyi,(1992-03-10)10 March 1992 (aged 24),6,0,Zorya Luhansk,https://en.wikipedia.org/wiki/FC_Zorya_Luhansk,Ukraine,https://en.wikipedia.org/wiki/Pylyp_Budkivskyi
16,3MF,Serhiy Sydorchuk,(1991-05-02)2 May 1991 (aged 25),12,2,Dynamo Kyiv,https://en.wikipedia.org/wiki/FC_Dynamo_Kyiv,Ukraine,https://en.wikipedia.org/wiki/Serhiy_Sydorchuk
17,2DF,Artem Fedetskyi,(1985-04-26)26 April 1985 (aged 31),49,2,Dnipro Dnipropetrovsk,https://en.wikipedia.org/wiki/FC_Dnipro_Dnipropetrovsk,Ukraine,https://en.wikipedia.org/wiki/Artem_Fedetskyi
18,3MF,Serhiy Rybalka,(1990-04-01)1 April 1990 (aged 26),9,0,Dynamo Kyiv,https://en.wikipedia.org/wiki/FC_Dynamo_Kyiv,Ukraine,https://en.wikipedia.org/wiki/Serhiy_Rybalka
19,3MF,Denys Harmash,(1990-04-19)19 April 1990 (aged 26),27,2,Dynamo Kyiv,https://en.wikipedia.org/wiki/FC_Dynamo_Kyiv,Ukraine,https://en.wikipedia.org/wiki/Denys_Harmash
20,2DF,Yaroslav Rakitskiy,(1989-08-03)3 August 1989 (aged 26),40,4,Shakhtar Donetsk,https://en.wikipedia.org/wiki/FC_Shakhtar_Donetsk,Ukraine,https://en.wikipedia.org/wiki/Yaroslav_Rakitskiy
21,3MF,Oleksandr Zinchenko,(1996-12-15)15 December 1996 (aged 19),3,1,Ufa,https://en.wikipedia.org/wiki/FC_Ufa,Ukraine,https://en.wikipedia.org/wiki/Oleksandr_Zinchenko_(footballer)
22,3MF,Oleksandr Karavayev,(1992-06-02)2 June 1992 (aged 24),3,0,Zorya Luhansk,https://en.wikipedia.org/wiki/FC_Zorya_Luhansk,Ukraine,https://en.wikipedia.org/wiki/Oleksandr_Karavayev
23,1GK,Mykyta Shevchenko,(1993-01-26)26 January 1993 (aged 23),0,0,Zorya Luhansk,https://en.wikipedia.org/wiki/FC_Zorya_Luhansk,Ukraine,https://en.wikipedia.org/wiki/Mykyta_Shevchenko
1,1GK,Wojciech Szczęsny,(1990-04-18)18 April 1990 (aged 26),26,0,Roma,https://en.wikipedia.org/wiki/A.S._Roma,Poland,https://en.wikipedia.org/wiki/Wojciech_Szcz%C4%99sny
2,2DF,Michał Pazdan,(1987-09-21)21 September 1987 (aged 28),17,0,Legia Warsaw,https://en.wikipedia.org/wiki/Legia_Warsaw,Poland,https://en.wikipedia.org/wiki/Micha%C5%82_Pazdan
3,2DF,Artur Jędrzejczyk,(1987-11-04)4 November 1987 (aged 28),19,3,Legia Warsaw,https://en.wikipedia.org/wiki/Legia_Warsaw,Poland,https://en.wikipedia.org/wiki/Artur_J%C4%99drzejczyk
4,2DF,Thiago Cionek,(1986-04-21)21 April 1986 (aged 30),6,0,Palermo,https://en.wikipedia.org/wiki/U.S._Citt%C3%A0_di_Palermo,Poland,https://en.wikipedia.org/wiki/Thiago_Cionek
5,3MF,Krzysztof Mączyński,(1987-05-23)23 May 1987 (aged 29),16,1,Wisła Kraków,https://en.wikipedia.org/wiki/Wis%C5%82a_Krak%C3%B3w,Poland,https://en.wikipedia.org/wiki/Krzysztof_M%C4%85czy%C5%84ski
6,3MF,Tomasz Jodłowiec,(1985-09-08)8 September 1985 (aged 30),44,1,Legia Warsaw,https://en.wikipedia.org/wiki/Legia_Warsaw,Poland,https://en.wikipedia.org/wiki/Tomasz_Jod%C5%82owiec
7,4FW,Arkadiusz Milik,(1994-02-28)28 February 1994 (aged 22),26,10,Ajax,https://en.wikipedia.org/wiki/AFC_Ajax,Poland,https://en.wikipedia.org/wiki/Arkadiusz_Milik
8,3MF,Karol Linetty,(1995-02-02)2 February 1995 (aged 21),10,1,Lech Poznań,https://en.wikipedia.org/wiki/Lech_Pozna%C5%84,Poland,https://en.wikipedia.org/wiki/Karol_Linetty
9,4FW,Robert Lewandowski (captain),(1988-08-21)21 August 1988 (aged 27),76,34,Bayern Munich,https://en.wikipedia.org/wiki/FC_Bayern_Munich,Poland,https://en.wikipedia.org/wiki/Robert_Lewandowski
10,3MF,Grzegorz Krychowiak,(1990-01-29)29 January 1990 (aged 26),34,2,Sevilla,https://en.wikipedia.org/wiki/Sevilla_FC,Poland,https://en.wikipedia.org/wiki/Grzegorz_Krychowiak
11,3MF,Kamil Grosicki,(1988-06-08)8 June 1988 (aged 28),39,8,Rennes,https://en.wikipedia.org/wiki/Stade_Rennais_F.C.,Poland,https://en.wikipedia.org/wiki/Kamil_Grosicki
12,1GK,Artur Boruc,(1980-02-20)20 February 1980 (aged 36),63,0,AFC Bournemouth,https://en.wikipedia.org/wiki/A.F.C._Bournemouth,Poland,https://en.wikipedia.org/wiki/Artur_Boruc
13,4FW,Mariusz Stępiński,(1995-05-12)12 May 1995 (aged 21),3,0,Ruch Chorzów,https://en.wikipedia.org/wiki/Ruch_Chorz%C3%B3w,Poland,https://en.wikipedia.org/wiki/Mariusz_St%C4%99pi%C5%84ski
14,2DF,Jakub Wawrzyniak,(1983-07-07)7 July 1983 (aged 32),49,1,Lechia Gdańsk,https://en.wikipedia.org/wiki/Lechia_Gda%C5%84sk,Poland,https://en.wikipedia.org/wiki/Jakub_Wawrzyniak
15,2DF,Kamil Glik,(1988-02-03)3 February 1988 (aged 28),41,3,Torino,https://en.wikipedia.org/wiki/Torino_F.C.,Poland,https://en.wikipedia.org/wiki/Kamil_Glik
16,3MF,Jakub Błaszczykowski,(1985-12-14)14 December 1985 (aged 30),79,16,Fiorentina,https://en.wikipedia.org/wiki/ACF_Fiorentina,Poland,https://en.wikipedia.org/wiki/Jakub_B%C5%82aszczykowski
17,3MF,Sławomir Peszko,(1985-02-19)19 February 1985 (aged 31),37,2,Lechia Gdańsk,https://en.wikipedia.org/wiki/Lechia_Gda%C5%84sk,Poland,https://en.wikipedia.org/wiki/S%C5%82awomir_Peszko
